REPORT_NUM,EVENT_PROPERTY_NAME,EVENT_TYPE_ID,EVENT_TYPE_NAME,EVENT_SRC_NAME,DISTRICT_ID,INTIME_ARCHIVE_NUM,SUB_TYPE_ID,DISTRICT_NAME,COMMUNITY_ID,REC_ID,STREET_ID,OVERTIME_ARCHIVE_NUM,OPERATE_NUM,DISPOSE_UNIT_ID,STREET_NAME,CREATE_TIME,EVENT_SRC_ID,INTIME_TO_ARCHIVE_NUM,SUB_TYPE_NAME,EVENT_PROPERTY_ID,OCCUR_PLACE,COMMUNITY_NAME,DISPOSE_UNIT_NAME,MAIN_TYPE_NAME,MAIN_TYPE_ID
1,投诉,5,市容环卫,12319,1,1,615,坪山区,10019,126193,105,0,1,1772,坑梓街道,2018/11/28 10:08,12,0,乱堆物堆料,2,-,金沙社区,城管办（坑梓街道办事处）,其他市容违法行为或影响市容事件,181
1,投诉,5,市容环卫,美丽深圳,1,1,591,坪山区,10007,126194,104,0,1,1751,坪山街道,2018/11/28 10:12,102,0,绿化带养护,2,-,六联社区,市政服务中心（坪山街道办事处）,绿化养护,176
1,投诉,5,市容环卫,美丽深圳,1,1,607,坪山区,10007,126195,104,0,1,8484,坪山街道,2018/11/28 10:17,102,0,街头张贴广告,2,-,六联社区,坪山街道综合执法队（坪山街道办事处）,宣传广告违法行为,180
1,投诉,5,市容环卫,@坪山,1,1,752,坪山区,10022,126196,105,0,1,1583,坑梓街道,2018/11/28 10:22,103,0,其他区域堆放施工废弃料,2,-,秀新社区,城市管理局,废弃物堆放,177
1,投诉,5,市容环卫,美丽深圳,1,1,598,坪山区,10022,126197,105,0,1,1772,坑梓街道,2018/11/28 10:22,102,0,住宅区域内废弃家具设备,2,-,秀新社区,城管办（坑梓街道办事处）,废弃物堆放,177
1,投诉,5,市容环卫,美丽深圳,1,1,598,坪山区,10022,126198,105,0,1,1770,坑梓街道,2018/11/28 10:22,102,0,住宅区域内废弃家具设备,2,-,秀新社区,市政服务中心（坑梓街道办事处）,废弃物堆放,177
1,投诉,6,市政设施,美丽深圳,1,1,638,坪山区,10022,126200,105,0,1,1920,坑梓街道,2018/11/28 10:32,102,0,公安井盖,2,-,秀新社区,市交警支队坪山大队,公用部件,185
1,投诉,5,市容环卫,美丽深圳,1,1,589,坪山区,10022,126201,105,0,1,1770,坑梓街道,2018/11/28 10:33,102,0,树木养护,2,-,秀新社区,市政服务中心（坑梓街道办事处）,绿化养护,176
1,投诉,5,市容环卫,美丽深圳,1,1,607,坪山区,10022,126202,105,0,1,1772,坑梓街道,2018/11/28 10:33,102,0,街头张贴广告,2,-,秀新社区,城管办（坑梓街道办事处）,宣传广告违法行为,180
1,投诉,17,社区管理,@坪山,1,0,408,坪山区,10012,126204,104,1,1,1754,坪山街道,2018/11/28 10:46,103,0,社区公共管理,2,-,六和社区,六和社区（坪山街道办事处）,社区公共管理,118
1,咨询,11,教育卫生,@坪山,1,1,1008,坪山区,10020,126205,101,0,1,1565,龙田街道,2018/11/28 10:46,103,0,医疗技术和服务,3,-,龙田社区,卫生和计划生育局,医政监管,1007
1,投诉,3,环保水务,@坪山,1,1,463,坪山区,10007,126207,104,0,1,1536,坪山街道,2018/11/28 10:48,103,0,施工噪音,2,-,六联社区,环境保护和水务局,建筑施工噪声,133
1,投诉,6,市政设施,@坪山,1,1,665,坪山区,10010,126208,100,0,1,1889,碧岭街道,2018/11/28 10:49,103,0,道路破损,2,-,沙湖社区,坪山交通运输局,市政、公共设施设置及维护,186
1,投诉,3,环保水务,@坪山,1,1,491,坪山区,10007,126210,104,0,1,1755,坪山街道,2018/11/28 10:52,103,0,垃圾臭味扰民,2,-,六联社区,六联社区（坪山街道办事处）,服务行业废气扰民,140
1,投诉,3,环保水务,@坪山,1,1,463,坪山区,10004,126211,102,0,1,1536,马峦街道,2018/11/28 10:54,103,0,施工噪音,2,-,坪环社区,环境保护和水务局,建筑施工噪声,133
1,投诉,5,市容环卫,12319,1,1,1162,坪山区,10001,126212,103,0,1,8535,石井街道,2018/11/28 10:55,12,0,综合执法,2,-,金龟社区,石井办事处综合执法队（石井街道办事处）,市容城管,1159
1,投诉,3,环保水务,@坪山,1,1,482,坪山区,10005,126215,104,0,1,8484,坪山街道,2018/11/28 11:04,103,0,饲养宠物家禽扰民,2,-,坪山社区,坪山街道综合执法队（坪山街道办事处）,禽畜养殖污染,138
1,投诉,15,民政服务,@坪山,1,1,1085,坪山区,10002,126218,100,0,1,1555,碧岭街道,2018/11/28 11:09,103,0,生活住房医疗,2,-,汤坑社区,住房和建设局,双拥优抚,795
1,投诉,5,市容环卫,美丽深圳,1,1,590,坪山区,10022,126219,105,0,1,1770,坑梓街道,2018/11/28 11:17,102,0,公共绿地养护,2,-,秀新社区,市政服务中心（坑梓街道办事处）,绿化养护,176
1,投诉,5,市容环卫,@坪山,1,1,605,坪山区,10004,126221,102,0,1,1920,马峦街道,2018/11/28 11:23,103,0,机动车乱停放,2,-,坪环社区,市交警支队坪山大队,车辆乱停放,179
1,投诉,6,市政设施,固话投诉,1,1,630,坪山区,10021,126222,105,0,1,8516,坑梓街道,2018/11/28 11:26,106,0,下水井盖,2,-,沙田社区,大工业区水务有限公司,公用部件,185
1,投诉,1,安全隐患,固话投诉,1,1,270,坪山区,10019,126224,105,0,1,1500,坑梓街道,2018/11/28 11:29,106,0,校园内安全隐患,2,-,金沙社区,教育局,校园安全,38
1,投诉,11,教育卫生,@坪山,1,1,1008,坪山区,10013,126225,101,0,1,1565,龙田街道,2018/11/28 11:37,103,0,医疗技术和服务,2,-,竹坑社区,卫生和计划生育局,医政监管,1007
1,投诉,15,民政服务,@坪山,1,1,1085,坪山区,10012,126226,104,0,1,1555,坪山街道,2018/11/28 11:51,103,0,生活住房医疗,2,-,六和社区,住房和建设局,双拥优抚,795
1,投诉,3,环保水务,12319,1,1,482,坪山区,10007,126228,104,0,1,8484,坪山街道,2018/11/28 12:05,12,0,饲养宠物家禽扰民,2,-,六联社区,坪山街道综合执法队（坪山街道办事处）,禽畜养殖污染,138
1,投诉,7,交通运输,@坪山,1,1,681,坪山区,10014,126229,101,0,1,1889,龙田街道,2018/11/28 12:17,103,0,公共交通管理,2,-,老坑社区,坪山交通运输局,公共交通管理,193
1,投诉,5,市容环卫,12319,1,1,602,坪山区,10021,126230,105,0,1,1772,坑梓街道,2018/11/28 12:29,12,0,无照经营游商,2,-,沙田社区,城管办（坑梓街道办事处）,占道经营,178
1,投诉,3,环保水务,12319,1,1,463,坪山区,10016,126234,104,0,1,1536,坪山街道,2018/11/28 13:25,12,0,施工噪音,2,-,和平社区,环境保护和水务局,建筑施工噪声,133
1,投诉,5,市容环卫,美丽深圳,1,1,609,坪山区,10019,126238,105,0,1,1772,坑梓街道,2018/11/28 13:42,102,0,未经批准设置广告牌,2,-,金沙社区,城管办（坑梓街道办事处）,宣传广告违法行为,180
1,投诉,6,市政设施,美丽深圳,1,1,630,坪山区,10019,126249,105,0,1,1777,坑梓街道,2018/11/28 13:57,102,0,下水井盖,2,-,金沙社区,金沙社区（坑梓街道办事处）,公用部件,185
1,投诉,5,市容环卫,美丽深圳,1,1,607,坪山区,10019,126264,105,0,1,1772,坑梓街道,2018/11/28 14:07,102,0,街头张贴广告,2,-,金沙社区,城管办（坑梓街道办事处）,宣传广告违法行为,180
1,投诉,5,市容环卫,美丽深圳,1,1,615,坪山区,10019,126265,105,0,1,1772,坑梓街道,2018/11/28 14:07,102,0,乱堆物堆料,2,-,金沙社区,城管办（坑梓街道办事处）,其他市容违法行为或影响市容事件,181
1,投诉,3,环保水务,12319,1,1,482,坪山区,10017,126270,103,0,1,8535,石井街道,2018/11/28 14:11,12,0,饲养宠物家禽扰民,2,-,石井社区,石井办事处综合执法队（石井街道办事处）,禽畜养殖污染,138
1,投诉,6,市政设施,美丽深圳,1,0,630,坪山区,10020,124298,101,1,1,1804,龙田街道,2018/11/23 7:52,102,0,下水井盖,2,-,龙田社区,龙田社区（龙田街道办事处）,公用部件,185
1,投诉,3,环保水务,12345,1,1,465,坪山区,10012,126569,104,0,1,1536,坪山街道,2018/11/29 10:26,13,0,商业经营红线内噪声,2,-,六和社区,环境保护和水务局,商业经营噪声,134
1,投诉,5,市容环卫,美丽深圳,1,1,589,坪山区,10007,126571,104,0,1,1583,坪山街道,2018/11/29 10:28,102,0,树木养护,2,-,六联社区,城市管理局,绿化养护,176
1,投诉,5,市容环卫,美丽深圳,1,1,752,坪山区,10002,126573,100,0,1,1876,碧岭街道,2018/11/29 10:28,102,0,其他区域堆放施工废弃料,2,-,汤坑社区,城管办（碧岭街道办事处）,废弃物堆放,177
