REC_ID,REPORT_NUM,EVENT_PROPERTY_NAME,EVENT_TYPE_ID,EVENT_TYPE_NAME,EVENT_SRC_NAME,DISTRICT_ID,INTIME_ARCHIVE_NUM,SUB_TYPE_ID,DISTRICT_NAME,COMMUNITY_ID,STREET_ID,OVERTIME_ARCHIVE_NUM,OPERATE_NUM,DISPOSE_UNIT_ID,STREET_NAME,CREATE_TIME,EVENT_SRC_ID,INTIME_TO_ARCHIVE_NUM,SUB_TYPE_NAME,EVENT_PROPERTY_ID,OCCUR_PLACE,COMMUNITY_NAME,DISPOSE_UNIT_NAME,MAIN_TYPE_NAME,MAIN_TYPE_ID
72687,1,投诉,5,市容环卫,12345,1,1,1160,坪山区,10018,101,0,1,8508,龙田街道,2018/7/4 17:24,13,0,市容环卫,2,-,南布社区,龙田街道综合执法队,市容城管,1159
72688,1,投诉,5,市容环卫,12345,1,1,1161,坪山区,10016,104,0,1,1536,坪山街道,2018/7/4 17:24,13,0,城市管理,2,-,和平社区,环境保护和水务局,市容城管,1159
72689,1,投诉,5,市容环卫,12345,1,1,1164,坪山区,10005,104,0,1,8484,坪山街道,2018/7/4 17:24,13,0,乱摆卖,2,-,坪山社区,坪山街道综合执法队,市容城管,1159
72690,1,投诉,3,环保水务,12345,1,1,482,坪山区,10002,100,0,1,1876,碧岭街道,2018/7/4 17:24,13,0,饲养宠物家禽扰民,2,-,汤坑社区,城管办（碧岭街道办事处）,禽畜养殖污染,138
72691,1,投诉,6,市政设施,@坪山,1,1,665,坪山区,10019,105,0,1,1536,坑梓街道,2018/7/4 17:25,103,0,道路破损,2,-,金沙社区,环境保护和水务局,市政、公共设施设置及维护,186
72692,1,投诉,3,环保水务,12345,1,1,465,坪山区,10003,102,0,1,8532,马峦街道,2018/7/4 17:27,13,0,商业经营红线内噪声,2,-,江岭社区,马峦办事处综合执法队,商业经营噪声,134
72693,1,投诉,3,环保水务,12345,1,1,465,坪山区,10003,102,0,1,8532,马峦街道,2018/7/4 17:27,13,0,商业经营红线内噪声,2,-,江岭社区,马峦办事处综合执法队,商业经营噪声,134
72694,1,投诉,5,市容环卫,12345,1,1,1163,坪山区,10017,103,0,1,1605,石井街道,2018/7/4 17:27,13,0,违法建设,2,-,石井社区,规划土地监察大队,市容城管,1159
72695,1,投诉,5,市容环卫,12345,1,1,1164,坪山区,10012,104,0,1,8484,坪山街道,2018/7/4 17:27,13,0,乱摆卖,2,-,六和社区,坪山街道综合执法队,市容城管,1159
72696,1,投诉,5,市容环卫,12345,1,1,1161,坪山区,10016,104,0,1,1757,坪山街道,2018/7/4 17:27,13,0,城市管理,2,-,和平社区,和平社区,市容城管,1159
72697,1,投诉,5,市容环卫,12345,1,1,1164,坪山区,10010,100,0,1,1876,碧岭街道,2018/7/4 17:27,13,0,乱摆卖,2,-,沙湖社区,城管办（碧岭街道办事处）,市容城管,1159
72698,1,投诉,5,市容环卫,12345,1,1,1161,坪山区,10014,101,0,1,8565,龙田街道,2018/7/4 17:30,13,0,城市管理,2,-,老坑社区,坑梓自来水公司（坑梓辖区）,市容城管,1159
72699,1,投诉,5,市容环卫,12345,1,1,1164,坪山区,10005,104,0,1,8484,坪山街道,2018/7/4 17:30,13,0,乱摆卖,2,-,坪山社区,坪山街道综合执法队,市容城管,1159
72700,1,投诉,5,市容环卫,12345,1,1,1164,坪山区,10005,104,0,1,8484,坪山街道,2018/7/4 17:30,13,0,乱摆卖,2,-,坪山社区,坪山街道综合执法队,市容城管,1159
72701,1,投诉,4,规土城建,12345,1,1,960,坪山区,10013,101,0,1,1803,龙田街道,2018/7/4 17:30,13,0,规划方案,2,-,竹坑社区,竹坑社区,城乡规划,161
72702,1,投诉,5,市容环卫,12345,1,1,1164,坪山区,10005,104,0,1,8484,坪山街道,2018/7/4 17:30,13,0,乱摆卖,2,-,坪山社区,坪山街道综合执法队,市容城管,1159
72703,1,投诉,5,市容环卫,12345,1,1,1160,坪山区,10022,105,0,1,1772,坑梓街道,2018/7/4 17:30,13,0,市容环卫,2,-,秀新社区,城管办（坑梓街道办事处）,市容城管,1159
72704,1,投诉,4,规土城建,12345,1,0,551,坪山区,10010,100,1,1,1864,碧岭街道,2018/7/4 17:30,13,0,房屋征收,2,-,沙湖社区,沙湖社区,房屋征收,159
72705,1,投诉,5,市容环卫,美丽深圳,1,1,611,坪山区,10022,105,0,1,1772,坑梓街道,2018/7/4 17:32,102,0,悬挂横幅标语、,2,-,秀新社区,城管办（坑梓街道办事处）,宣传广告违法行为,180
72706,1,投诉,5,市容环卫,12345,1,1,1163,坪山区,10017,103,0,1,1605,石井街道,2018/7/4 17:33,13,0,违法建设,2,-,石井社区,规划土地监察大队,市容城管,1159
72707,1,投诉,3,环保水务,12345,1,1,460,坪山区,10018,101,0,1,1536,龙田街道,2018/7/4 17:36,13,0,工业红线内噪声,2,-,南布社区,环境保护和水务局,工业噪声,132
72708,1,投诉,11,教育卫生,12345,1,0,1025,坪山区,10021,105,1,1,1500,坑梓街道,2018/7/4 17:36,13,0,教学管理,2,-,沙田社区,教育局,教育行政管理,1024
72709,1,投诉,5,市容环卫,美丽深圳,1,1,602,坪山区,10022,105,0,1,1772,坑梓街道,2018/7/4 17:37,102,0,无照经营游商,2,-,秀新社区,城管办（坑梓街道办事处）,占道经营,178
73044,1,投诉,5,市容环卫,美丽深圳,1,1,581,坪山区,10022,105,0,1,1770,坑梓街道,2018/7/5 18:28,102,0,暴露垃圾,2,-,秀新社区,市政服务中心（坑梓街道办事处）,垃圾问题,172
73046,1,投诉,5,市容环卫,美丽深圳,1,1,581,坪山区,10022,105,0,1,1770,坑梓街道,2018/7/5 18:42,102,0,暴露垃圾,2,-,秀新社区,市政服务中心（坑梓街道办事处）,垃圾问题,172
73047,1,投诉,5,市容环卫,美丽深圳,1,1,595,坪山区,10022,105,0,1,1770,坑梓街道,2018/7/5 18:43,102,0,行道树倒压占路,2,-,秀新社区,市政服务中心（坑梓街道办事处）,绿化养护,176
73048,1,投诉,6,市政设施,@坪山,1,1,631,坪山区,10021,105,0,1,8565,坑梓街道,2018/7/5 18:43,103,0,自来水管破裂,2,-,沙田社区,坑梓自来水公司（坑梓辖区）,公用部件,185
73049,1,投诉,6,市政设施,美丽深圳,1,0,833,坪山区,10022,105,1,1,1920,坑梓街道,2018/7/5 18:47,102,0,交通信号设施,2,-,秀新社区,市交警支队坪山大队,交通设施,183
73051,1,投诉,5,市容环卫,美丽深圳,1,1,581,坪山区,10022,105,0,1,1770,坑梓街道,2018/7/5 19:02,102,0,暴露垃圾,2,-,秀新社区,市政服务中心（坑梓街道办事处）,垃圾问题,172
73052,1,投诉,6,市政设施,美丽深圳,1,1,634,坪山区,10003,102,0,1,8474,马峦街道,2018/7/5 19:03,102,0,通讯井盖,2,-,江岭社区,广东移动深圳公司,公用部件,185
73058,1,投诉,5,市容环卫,美丽深圳,1,1,598,坪山区,10022,105,0,1,1770,坑梓街道,2018/7/5 19:22,102,0,住宅区域内废弃家具设备,2,-,秀新社区,市政服务中心（坑梓街道办事处）,废弃物堆放,177
73067,1,投诉,1,安全隐患,@坪山,1,1,226,坪山区,10019,105,0,1,1920,坑梓街道,2018/7/5 20:05,103,0,非机动车非法营运,2,-,金沙社区,市交警支队坪山大队,道路交通安全,27
73072,1,投诉,6,市政设施,美丽深圳,1,1,634,坪山区,10013,101,0,1,1803,龙田街道,2018/7/5 20:47,102,0,通讯井盖,2,-,竹坑社区,竹坑社区,公用部件,185
73073,1,投诉,6,市政设施,@坪山,1,1,633,坪山区,10012,104,0,1,1583,坪山街道,2018/7/5 20:48,103,0,路灯(灯光)井盖,2,-,六和社区,城市管理局,公用部件,185
73075,1,投诉,6,市政设施,@坪山,1,1,633,坪山区,10007,104,0,1,1751,坪山街道,2018/7/5 20:53,103,0,路灯(灯光)井盖,2,-,六联社区,市政服务中心（坪山街道办事处）,公用部件,185
73077,1,投诉,5,市容环卫,@坪山,1,1,605,坪山区,10016,104,0,1,1920,坪山街道,2018/7/5 21:46,103,0,机动车乱停放,2,-,和平社区,市交警支队坪山大队,车辆乱停放,179
73078,1,投诉,5,市容环卫,@坪山,1,1,603,坪山区,10018,101,0,1,8508,龙田街道,2018/7/5 21:54,103,0,店外经营,2,-,南布社区,龙田街道综合执法队,占道经营,178
73079,1,投诉,3,环保水务,@坪山,1,1,476,坪山区,10004,102,0,1,8532,马峦街道,2018/7/5 22:02,103,0,公共场所噪声,2,-,坪环社区,马峦办事处综合执法队,社会生活噪声,137
73081,1,投诉,5,市容环卫,固话投诉,1,1,586,坪山区,10018,101,0,1,1801,龙田街道,2018/7/5 22:48,106,0,道路遗撒,2,-,南布社区,市政服务中心（龙田街道办事处）,道路保洁,174
